Nome Órgão Superior,Nome Contratado,Valor Final Compra,Valor Inicial Compra,DIF
Advocacia-Geral da União,INSTITUTO INTERAMERICANO DE DESENVOLVIMENTO HUMANO - BEM BRASIL,"3295687,6800","2874038,6400",421649.0400
Advocacia-Geral da União,FIRMIANO SEGURANCA PATRIMONIAL LTDA,"1849669,2000","1746925,4400",102743.7600
Advocacia-Geral da União,SEGVILLE SERVICOS ESPECIALIZADOS LTDA,"543082,7300","519999,9100",23082.8200
Advocacia-Geral da União,LIDERANCA LIMPEZA E CONSERVACAO LTDA,"103262,5200","93538,9200",9723.6000
Advocacia-Geral da União,PRECISA CONSERVACAO E LIMPEZA LTDA,"115294,2000","110566,0800",4728.1200
Ministério da Agricultura e Pecuária,ANJOS SOLUCOES LTDA,"101574,9600","90297,9600",11277.0000
"Ministério da Ciência, Tecnologia e Inovação",PERSONA VIGILANCIA E SEGURANCA LTDA,"893132,4800","35092,9200",858039.5600
"Ministério da Ciência, Tecnologia e Inovação",ORBENK ADMINISTRACAO E SERVICOS LTDA.,"185002,0800","172999,9200",12002.1600
"Ministério da Ciência, Tecnologia e Inovação",MAXIS INFORMATICA LTDA,"9026,2800","8477,7200",548.5600
Ministério da Cultura,ALINE CARLOS RIBEIRO,"702712,7900","577771,8300",124940.9600
Ministério da Cultura,PRODUTIVA SERVICOS OBRAS MANUTENCAO E LOCACAO DE MAO DE OBRA ESPECIALIZADA LTDA,"957745,4400","905895,8400",51849.6000
Ministério da Cultura,BEST VIGILANCIA E SEGURANCA LTDA,"772058,6400","728896,4400",43162.2000
Ministério da Cultura,MCR SISTEMAS E CONSULTORIA LTDA,"569092,5300","537015,0000",32077.5300
Ministério da Cultura,ARCHAIOS ENGENHARIA CONSULTORIA PROJETO E RESTAURACAO LTDA,"345536,7100","314547,2900",30989.4200
Ministério da Cultura,MEDVITALIS SERVICOS LTDA,"286835,5200","271972,0800",14863.4400
Ministério da Cultura,IMPROL SERVICOS INTEGRADOS LTDA,"86021,1600","78954,1200",7067.0400
Ministério da Defesa,FORMATTO REPRESENTACOES E SOLUCOES LTDA,"2854980459,6800","2269907736,0000",585072723.6800
Ministério da Defesa,CONSTRUTORA SMART LTDA,"11101331,3700","9126906,6500",1974424.7200
Ministério da Defesa,ATECH - NEGOCIOS EM TECNOLOGIAS S.A.,"19151529,8500","17827515,9000",1324013.9500
Ministério da Defesa,CONSTRUTORA E-CIVIL LTDA,"669846,0000","450000,0000",219846.0000
Ministério da Defesa,R M MACHADO E CIA LIMITADA,"852577,4400","789897,8500",62679.5900
Ministério da Defesa,TELEALPHA COMERCIAL LTDA,"332703,9100","276250,1300",56453.7800
Ministério da Defesa,ABBOTT LABORATORIOS DO BRASIL LTDA,"939734,4200","886996,4800",52737.9400
Ministério da Defesa,CEMIG DISTRIBUICAO S.A,"250000,0000","206040,7200",43959.2800
Ministério da Defesa,ACOS F SACCHELLI LIMITADA,"172427,5000","137942,0000",34485.5000
Ministério da Defesa,RUSSAS EMPREITEIRA DE MAO DE OBRA LTDA,"554657,1800","521554,0000",33103.1800
Ministério da Defesa,JRM INSTALACOES LTDA,"714324,2300","684400,0000",29924.2300
Ministério da Defesa,LANCER ENGENHARIA LTDA,"247066,4800","218656,8400",28409.6400
Ministério da Defesa,VILLEGA COMERCIO E REFRIGERACAO LTDA,"195003,0000","167500,0000",27503.0000
Ministério da Defesa,RCJS CONSTRUCAO CIVIL LTDA,"139297,3000","132600,0000",6697.3000
Ministério da Defesa,GRIFOLS BRASIL LTDA,"74377,0000","68375,0000",6002.0000
Ministério da Defesa,DANIEL JUNGLES MARTINS,"38390,8800","35692,2000",2698.6800
Ministério da Defesa,EDIVANE SOARES VIEIRA DE SOUZA 03307173405,"18186,3600","16800,0000",1386.3600
Ministério da Defesa,CLARO S.A.,"582,4000","480,0000",102.4000
Ministério da Educação,ARAUNA SERVICOS ESPECIALIZADOS LTDA,"15557098,6800","12797328,6000",2759770.0800
Ministério da Educação,NASCIMENTO SERVICOS DE LIMPEZA LTDA,"13200488,5200","12211996,6800",988491.8400
Ministério da Educação,PLANSUL PLANEJAMENTO E CONSULTORIA LTDA,"17411019,2100","16593947,2400",817071.9700
Ministério da Educação,LIDERANCA LIMPEZA E CONSERVACAO LTDA,"1125832,0800","540835,8000",584996.2800
Ministério da Educação,WORKS CONSTRUCAO & SERVICOS LTDA,"3224599,2400","2703995,9400",520603.3000
Ministério da Educação,MIPPE CONSTRUCOES LTDA,"1157968,2700","783322,5700",374645.7000
Ministério da Educação,"VERTICAL - ENGENHARIA, CONSTRUCAO E EMPREENDIMENTOS LTDA","2348266,9800","1977916,5600",370350.4200
Ministério da Educação,CONVIVA SERVICOS E GESTAO DE MAO DE OBRA LTDA,"4858625,7600","4524377,7600",334248.0000
Ministério da Educação,CONSTRUTORA CARVALHO COSTA & SILVA LTDA,"7508946,5600","7203388,5000",305558.0600
Ministério da Educação,POLO SEGURANCA ESPECIALIZADA LTDA,"5019572,4000","4735151,6200",284420.7800
Ministério da Educação,SUL BAHIA LAVANDERIA LTDA,"4130092,8000","3897072,0000",233020.8000
Ministério da Educação,ARAUNA SERVICOS ESPECIALIZADOS LTDA,"3107496,6000","2901985,6800",205510.9200
Ministério da Educação,FATOR CONSTRUCOES LTDA EM RECUPERACAO JUDICIAL,"2463035,3500","2261205,5100",201829.8400
Ministério da Educação,VSG - VIGILANCIA E SEGURANCA EM GERAL LTDA,"3844840,6300","3643084,5600",201756.0700
Ministério da Educação,C B A CONSTRUCOES LTDA,"2115307,9900","1937286,8900",178021.1000
Ministério da Educação,PRESTA CONSTRUTORA E SERVICOS GERAIS LTDA,"9160169,6500","9010982,0500",149187.6000
Ministério da Educação,PLANSUL PLANEJAMENTO E CONSULTORIA LTDA,"1913594,6500","1775140,3100",138454.3400
Ministério da Educação,F1 CONSTRUCOES E NAUTICA LTDA,"582423,6700","444161,7500",138261.9200
Ministério da Educação,CONSTRUTORA PORTOBELLO LTDA,"2744493,8600","2607961,4500",136532.4100
Ministério da Educação,INDUSTEC COMERCIAL E SERVICOS LTDA,"2378380,5100","2249994,1200",128386.3900
Ministério da Educação,ABBOTT LABORATORIOS DO BRASIL LTDA,"1388357,5800","1276920,0000",111437.5800
Ministério da Educação,G I EMPRESA DE SEGURANCA LTDA,"1846452,9600","1744729,6800",101723.2800
Ministério da Educação,REDE LOCACAO DE MAO DE OBRA TEMPORARIA LTDA,"517564,4200","420013,3200",97551.1000
Ministério da Educação,"FUNDACAO DE APOIO A EDUCACAO, PESQUISA E DESENVOLVIMENTO CIENTIFICO E TECNOLOGIC","203500,0000","110000,0000",93500.0000
Ministério da Educação,PLANSUL PLANEJAMENTO E CONSULTORIA LTDA,"2109560,8900","2021336,7700",88224.1200
Ministério da Educação,FLAMASERV SERVICOS TERCEIRIZADOS LTDA,"1115408,4000","1045000,0000",70408.4000
Ministério da Educação,SOLL -SERVICOS OBRAS E LOCACOES LTDA,"568653,1200","502679,7600",65973.3600
Ministério da Educação,REDE LOCACAO DE MAO DE OBRA TEMPORARIA LTDA,"514177,9100","450507,2300",63670.6800
Ministério da Educação,MAP SERVICOS DE SEGURANCA LTDA,"2864625,1200","2801245,4400",63379.6800
Ministério da Educação,BOA VISTA CONSTRUCOES LTDA,"632919,0300","570000,0000",62919.0300
Ministério da Educação,LIDER LIMPE LIMPEZA COMERCIAL LTDA,"798224,2800","740232,6600",57991.6200
Ministério da Educação,VALI AUDITORIA ASSESSORIA CONTABIL E FISCAL LTDA,"681534,2400","627490,6800",54043.5600
Ministério da Educação,CTA SERVICOS TERCEIRIZADOS LTDA,"759506,6500","715945,5800",43561.0700
Ministério da Educação,ALERTA SERVICOS LTDA,"621640,3600","581216,1100",40424.2500
Ministério da Educação,TBL SERVICOS LTDA,"862196,0500","822199,8000",39996.2500
Ministério da Educação,BARROS MIRANDA MONITORAMENTO E TERCEIRIZACAO LTDA,"472078,3800","432575,1000",39503.2800
Ministério da Educação,MERCOSERVICE PRESTACAO DE SERVICOS LTDA,"479383,9200","440303,7600",39080.1600
Ministério da Educação,ASSOCIACAO DOS AGRICULTORES FAMILIARES DO SUL DE MINAS,"79488,8200","44179,4800",35309.3400
Ministério da Educação,REAL NORTE CONSTRUTORA LTDA,"197566,3200","165324,3900",32241.9300
Ministério da Educação,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS,"121000,0000","96800,0000",24200.0000
Ministério da Educação,ALERTA SERVICOS LTDA,"336423,8400","312836,0500",23587.7900
Ministério da Educação,CONSTRUTORA J M EXCELENCIA JAMES LTDA,"69690,2700","46530,0000",23160.2700
Ministério da Educação,LINCE INSTALACOES E SERVICOS LTDA,"273723,1000","252800,0000",20923.1000
Ministério da Educação,BARROS MIRANDA MONITORAMENTO E TERCEIRIZACAO LTDA,"248649,7000","227785,1800",20864.5200
Ministério da Educação,LM - ENGENHARIA E CONSTRUCOES LTDA,"90552,5200","70303,8400",20248.6800
Ministério da Educação,PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,"207209,3300","188381,1600",18828.1700
Ministério da Educação,PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,"94161,7600","75334,0000",18827.7600
Ministério da Educação,PROFORCE TERCEIRIZACOES E SERVICOS LTDA,"105810,9600","87474,0000",18336.9600
Ministério da Educação,ALERTA SERVICOS LTDA,"245895,7300","229638,9700",16256.7600
Ministério da Educação,ALERTA SERVICOS LTDA,"236298,4300","221974,4900",14323.9400
Ministério da Educação,OBJETIVA SERVICOS TERCEIRIZADOS LTDA,"89299,9400","77659,0200",11640.9200
Ministério da Educação,J M F SERVICOS LTDA,"195326,2800","183872,0500",11454.2300
Ministério da Educação,LM - ENGENHARIA E CONSTRUCOES LTDA,"506432,7300","496165,9700",10266.7600
Ministério da Educação,ANA FERNANDES TELES ALCANTARA,"49979,8800","39988,7000",9991.1800
Ministério da Educação,JMS CONSTRUTORA E SERVICOS LTDA,"201342,2200","191448,1000",9894.1200
Ministério da Educação,DIEX CONSTRUCOES E EMPREENDIMENTOS LTDA,"219427,3000","209664,1200",9763.1800
Ministério da Educação,COOP REG PROD DE LEITE DE SERRANIA LTDA,"17160,0000","8580,0000",8580.0000
Ministério da Educação,ALERTA SERVICOS LTDA,"140834,4000","132909,1200",7925.2800
Ministério da Educação,PERINAZZO & PERINAZZO DOCES E ALIMENTOS LTDA,"102261,7500","95227,0000",7034.7500
