Nome Órgão Superior,Quantidade_Contratos_Orgao,Menor_Contrato,Maior_Contrato,Total_Contratos
Advocacia-Geral da União,19,"103262,5200","8400000,0000",37816832.2300
Banco Central do Brasil - Orçamento Fiscal e ,15,"10798000,0000","7880,0000",43269455.6400
Controladoria-Geral da União,1,"4657056,2100","4657056,2100",4657056.2100
Ministério da Agricultura e Pecuária,33,"101574,9600","88099,9900",6600404.3100
"Ministério da Ciência, Tecnologia e Inovação",54,"100000,0000","94500,0000",46559282.1500
Ministério da Cultura,24,"0,0000","957745,4400",14176559.8500
Ministério da Defesa,347,"0,0000","999000,0000",3941840532.2000
Ministério da Educação,603,"0,0000","999997,4400",1290628255.7000
Ministério da Fazenda,46,"1,0000","9980,0000",186562399.4900
Ministério da Gestão e da Inovação em Serviço,34,"1045836,4000","798000,0000",183157957.7400
Ministério da Integração e do Desenvolvimento,17,"1164000,0000","88470,0000",56627155.2200
Ministério da Justiça e Segurança Pública,85,"0,0000","9699,7000",208879783.1100
Ministério da Previdência Social,33,"1044860,2000","98185,0000",31879038.3500
Ministério da Saúde,156,"0,0000","99563,9500",2364600160.7200
Ministério das Cidades,29,"1169988,0000","94708,4100",328547102.1900
Ministério das Comunicações,15,"1240800,0000","975,7000",3916647.7600
Ministério das Relações Exteriores,6,"13020,0000","99000,0000",525170579.9200
Ministério de Minas e Energia,31,"1000,0000","9588,0000",17334440.8200
Ministério de Portos e Aeroportos,2,"1025406,4800","949890,0000",2174589.8400
Ministério do Desenvolvimento Agrário e Agric,14,"102869,1800","4620781,1400",6099966.9400
Ministério do Desenvolvimento e Assistência S,4,"52476,5400","960000,0000",1867466.1200
"Ministério do Desenvolvimento, Indústria, Com",13,"11880,0000","921672,0000",5273675.3600
Ministério do Esporte,1,"2174490,6000","2174490,6000",2174490.6000
Ministério do Meio Ambiente e Mudança do Clim,51,"0,0000","99999,0000",39661577.0700
Ministério do Planejamento e Orçamento,21,"10000,0000","826465,2100",54217981.1400
Ministério do Trabalho e Emprego,4,"1280520,0000","832549,1900",5398619.1900
Ministério dos Direitos Humanos e Cidadania,3,"1435568,0000","32752,0000",1681740.0000
Ministério dos Povos Indígenas,16,"10340,0000","7961,2300",2427003.6900
Ministério dos Transportes,67,"1,0000","94650,0000",867241924.4900
Presidência da República,31,"11369788,7200","97500,0000",34050099.4400
