Nome Contratado,Quantidade_Orgao,Total_Contratos
POSITIVO TECNOLOGIA S.A.,16,63117204.0000
MULTILASER INDUSTRIAL S.A.,9,5298510.0000
MCR SISTEMAS E CONSULTORIA LTDA,8,5215785.6100
SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),5,157613047.0600
TELEFONICA BRASIL S.A.,5,630820.5000
BRASOFTWARE INFORMATICA LTDA,5,10693072.3600
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,5,407825.5600
CLARO S.A.,4,10846828.7000
EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,4,941482.3000
LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTD,4,2945483.5500
MARCENARIA SULAR LTDA,4,1299709.6000
LIGHT SERVICOS DE ELETRICIDADE S A,3,3271225.2600
INFOCABLE INFRAESTRUTURA E TECNOLOGIA LTDA,3,1476856.1700
INSTITUTO INTERAMERICANO DE DESENVOLVIMENTO HUMANO - BEM BRASIL,3,6580016.5200
MC2 SOLUCOES EM SERVICOS LTDA,3,4153081.2900
NP TECNOLOGIA E GESTAO DE DADOS LTDA,3,209644.0300
PERSONA VIGILANCIA E SEGURANCA LTDA,3,7768349.1200
VETT - VIA EXPRESS TECNOLOGIA E TELECOMUNICACOES LTDA,3,255419.0000
"TESLA ENGENHARIA, REFORMAS E CONSTRUCOES LTDA",3,158139.3100
SERVIX INFORMATICA LTDA,3,2694754.1500
PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,3,9304618.7700
REPREMIG REPRESENTACAO E COMERCIO DE MINAS GERAIS LTDA,3,360432.0000
AGILENT TECHNOLOGIES BRASIL LTDA,3,498222.3900
AVOIP TELECOM LTDA,3,70069.6000
FACHINELI COMUNICACAO LTDA,3,338904.4400
ECOPENSE COLETA DE RESIDUOS LTDA,3,353792.9400
DATEN TECNOLOGIA LTDA,3,1512512.8000
ELEVADORES ATLAS SCHINDLER LTDA.,3,1004693.2800
ELBER INDUSTRIA DE REFRIGERACAO LTDA,2,337362.0000
DINAMICA DISTRIBUIDORA E COMERCIO VAREJISTA DE ELETRODOMESTICOS LTDA,2,26030.0000
CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,2,655894.8000
COTTAR MANUTENCOES LTDA,2,4842229.4700
DAF COMERCIO DE MOVEIS E EQUIPAMENTOS TECNICOS LTDA,2,110283.0000
DECISION SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,2,11030286.0000
DFF CONSTRUCOES E REFORMAS LTDA,2,133385.2500
FRP COMERCIO E SERVICOS DE INFORMATICA LTDA,2,57800.0000
FS SERVICOS DE OBRAS E REFORMAS ACABAMENTO NA CONSTRUCAO CIVIL LTDA,2,938316.6500
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,2,1558113.9600
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,2,1435179.2800
ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,2,91742.0700
ESPLANADA SERVICOS TERCEIRIZADOS LTDA,2,283633.9200
EBSCO BRASIL LTDA,2,43898.3300
FONTES BH SISTEMAS DE ENERGIA LTDA,2,74000.0000
FORCA ENGENHARIA E PROJETOS LTDA,2,139903.9400
FORCA TATICA VIGILANCIA E SEGURANCA LTDA,2,2903459.2800
